time_scraping,otodom_id,price,title,surface_area,num_of_room,floor,form_of_property,finish_condition,balcony_garden_terrace,parking_space,heating,ad_link,map_link
2024-06-06 01:36:07,duze-2-pokoje-z-balkonem-przy-ul-ryzowej-garaz-ID4q6As,799 000 zł,Duże 2 pokoje z balkonem przy ul. Ryżowej | garaż,"53,1 m²",,3/6,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/duze-2-pokoje-z-balkonem-przy-ul-ryzowej-garaz-ID4q6As,"https://www.google.com/maps/@52.1909108,20.9064922,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:12,kawalerka-z-widokiem-na-zielen-metro-slodowiec-ID4qWzK,439 000 zł,Kawalerka z widokiem na zieleń - Metro Słodowiec,"25,1 m²",,6/10,,do remontu,,,miejskie,https://www.otodom.pl/pl/oferta/kawalerka-z-widokiem-na-zielen-metro-slodowiec-ID4qWzK,"https://www.google.com/maps/@52.2817,20.95894,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:16,apartament-3-pokojowy-z-pieknym-balkonem-ID4qL4C,1 300 000 zł,Apartament 3 pokojowy z pięknym balkonem,71 m²,,1/3,pełna własność,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/apartament-3-pokojowy-z-pieknym-balkonem-ID4qL4C,"https://www.google.com/maps/@52.2413608,20.8937387,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:21,bezposrednio-ID4onAP,967 500 zł,BEZPOŚREDNIO!,45 m²,,parter/2,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,gazowe,https://www.otodom.pl/pl/oferta/bezposrednio-ID4onAP,"https://www.google.com/maps/@52.1616086,21.1246899,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:26,zielono-cicho-luksusowo-na-ostoi-wilanow-ID4qh2w,1 599 000 zł,"Zielono, Cicho, Luksusowo Na Ostoi Wilanów","73,3 m²",,3/4,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,gazowe,https://www.otodom.pl/pl/oferta/zielono-cicho-luksusowo-na-ostoi-wilanow-ID4qh2w,"https://www.google.com/maps/@52.161109,21.067019,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:30,niesamowite-miejsce-dla-ciebie-19-dzielnica-ID4qPCo,1 150 000 zł,Niesamowite miejsce dla Ciebie 19. Dzielnica,34 m²,,9/9,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/niesamowite-miejsce-dla-ciebie-19-dzielnica-ID4qPCo,"https://www.google.com/maps/@52.2251283,20.9782803,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:35,mieszkanie-z-faktura-vat-ID4qUF2,1 299 000 zł,Mieszkanie Z Fakturą Vat,62 m²,,3/4,,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/mieszkanie-z-faktura-vat-ID4qUF2,"https://www.google.com/maps/@52.15613,21.11163,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:40,mieszkanie-60-30-m-piastow-ID4qWzy,690 000 zł,"Mieszkanie, 60,30 m², Piastów","60,3 m²",,1/4,,do remontu,,,miejskie,https://www.otodom.pl/pl/oferta/mieszkanie-60-30-m-piastow-ID4qWzy,"https://www.google.com/maps/@52.1876138,20.840414,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:45,bezposrednio-38m2-2-pokoje-mieszkanie-50m-metro-ID4qCSe,569 000 zł,"Bezpośrednio, 38m2 2 pokoje mieszkanie, 50m Metro",38 m²,,10,spółdzielcze wł. prawo do lokalu,do wykończenia,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/bezposrednio-38m2-2-pokoje-mieszkanie-50m-metro-ID4qCSe,"https://www.google.com/maps/@52.2938341,21.031681,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:49,okazja-mieszkanie-na-zoliborzu-przy-stacji-metra-ID4qWzq,1 030 000 zł,Okazja mieszkanie na Zoliborzu przy stacji metra,"70,5 m²",,parter/4,spółdzielcze wł. prawo do lokalu,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/okazja-mieszkanie-na-zoliborzu-przy-stacji-metra-ID4qWzq,"https://www.google.com/maps/@52.2616725,20.9829917,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
