price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
1195000,52.1538818,21.0808325,57.0,3,1,4,for living,full ownership,Balcony,garage/parking space,
609000,52.2163092,20.7998462,54.67,3,3,3,for finishing,,,,municipal
838000,52.196863,20.9793035,47.2,3,3,4,for living,full ownership,Balcony,,municipal
1817700,52.2251321,20.9741461,74.94,4,5,7,for finishing,full ownership,Balcony,garage/parking space,
2084468,52.1581267,21.0830132,113.75,4,1,4,for finishing,full ownership,Balcony,garage/parking space,
1195000,52.1538818,21.0808325,57.0,3,1,4,for living,full ownership,Balcony,garage/parking space,
,52.15751,21.199276,100.15,4,0,5,for finishing,perpetual usufruct / lease 29,"Terrace, Garden",,municipal
887000,52.2851672,20.9365468,64.0,5,5,10,for living,cooperative ownership right to the premises,Balcony,,municipal
774780,52.3202887,20.996522,62.72,3,5,5,for finishing,full ownership,Balcony,garage/parking space,
789446,52.1972054,21.0468635,36.38,2,1,5,for finishing,full ownership,Balcony,garage/parking space,
848848,52.1993046,20.8788704,63.38,3,1,7,for finishing,full ownership,,garage/parking space,
1473454,52.2067296,21.0743444,88.02,4,1,3,for finishing,full ownership,Balcony,garage/parking space,
,52.3095985,21.0269151,55.83,3,3,3,for finishing,full ownership,Balcony,garage/parking space,
,52.2023915,20.8858958,82.48,4,4,7,for finishing,full ownership,,garage/parking space,
556160,52.0874604,20.8437038,50.56,2,2,3,for finishing,full ownership,,garage/parking space,
,52.2640932,21.0357025,95.14,5,6,6,for finishing,full ownership,"Balcony, Terrace",garage/parking space,
1558000,52.2507712,21.0337297,71.17,3,1,7,for finishing,full ownership,Balcony,garage/parking space,
1121000,52.28521,20.92785,63.83,3,1,8,for finishing,full ownership,Balcony,garage/parking space,
960000,52.3025609,20.9294462,55.97,3,1,5,for finishing,full ownership,,garage/parking space,
,52.1802699,20.9794708,80.79,4,9,10,for finishing,full ownership,,garage/parking space,
,52.1699645,20.9934698,62.92,3,0,5,for finishing,full ownership,Garden,garage/parking space,
556160,52.0874604,20.8437038,50.56,2,0,3,for finishing,full ownership,Garden,garage/parking space,
550000,52.0752767,20.9978017,75.0,2,2,2,for finishing,,Balcony,garage/parking space,gas
